Essential Question,Domain,Type,Sector,Indicator,Metric,Data Element,Ed-Fi Availability,Ed-Fi Data Element Path,CEDS Availability,CEDS Data Element Path V11,CEDS Data Element Path V13,Other Data Sources,Data Capture Method,Data Status,Notes,Classification,CEDS Queries V11,CEDS Queries V13,Column 2,Column 21,Column 4,Column 5,Column 6,Column 7,Column 8
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,E-W System Conditions,PK,Teacher credentials,Percentage of lead teachers with at least a bachelor’s degree,Position type (lead pre-K teacher status),Likely not available,StaffEducationOrganizationAssignmentAssociation.StaffClassification,,,,ALSDE Data Code Manual,Automated,Available,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,E-W System Conditions,PK,Teacher credentials,Percentage of lead teachers with at least a bachelor’s degree,Highest level of education completed,Likely not available,Staff.HighestCompletedLevelOfEducation,,,,ALSDE Data Code Manual,Automated,Available,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,E-W System Conditions,PK,Teacher credentials,Percentage of lead teachers with specialized training in pre-K,Position type (lead pre-K teacher status),Likely not available,StaffEducationOrganizationAssignmentAssociation.StaffClassification,,,,ALSDE Data Code Manual,Automated,Available,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,E-W System Conditions,PK,Teacher credentials,Percentage of lead teachers with specialized training in pre-K,Credential or certification type,Likely not available,"Credential.CredentialType, Credential.Person",,,,ALSDE Data Code Manual,Automated,Available,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,E-W System Conditions,K12,Teacher credentials,"Percentage of courses taught by full-time equivalent (FTE) teachers (that is, teachers other than substitutes or those with emergency or provisional licenses)",Course ID or course title,Partial,Credential.AcademicSubjectDescriptor,Found,FactK12StudentCourseSections.K12CourseId,FactK12StudentCourseSections.StateK12CourseId,Student Data Application Guide,Automated,Available,p. 57,,"select
        'Number of Courses(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(f.K12CourseId) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.FactK12StudentCourseSections f
join RDS.DimK12Courses c
on f.K12CourseId = c.DimK12CourseId","select
        'Number of Courses(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(f.StateK12CourseId) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.FactK12StaffCourseSections f
join RDS.DimK12CoursesSections c
on f.StateK12CourseSectionId= c.DimK12CourseSectionId",,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,E-W System Conditions,K12,Teacher credentials,"Percentage of courses taught by full-time equivalent (FTE) teachers (that is, teachers other than substitutes or those with emergency or provisional licenses)",Staff FTE status,Found,staffEducationOrganizationEmploymentAssociation.FullTimeEquivalency,Found,FactK12StaffCounts.StaffFullTimeEquivalency,FactK12StaffEmployments.FullTimeEquivalency,ALSDE Data Code Manual,Automated,Available,,,"select
	'Number of FTE Staff(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
	CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.FactK12StaffCounts f
where f.StaffFullTimeEquivalency = 1.0","select
    'Number of FTE Staff(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
    CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.FactK12StaffEmployments f 
join RDS.DimPeople_Current d
    on d.DimPersonId = f.K12Staff_CurrentId
where f.FullTimeEquivalency = 1.0",,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,E-W System Conditions,K12,Teacher credentials,"Percentage of courses taught by full-time equivalent (FTE) teachers (that is, teachers other than substitutes or those with emergency or provisional licenses)",Course instructor (or teacher's course assignments),Found,StaffSectionAssociation.Staff,Found,BridgeK12StudentCourseSectionK12Staff.K12StaffId,BridgeK12StudentCourseSectionK12Staff.K12StaffId,ALSDE Data Code Manual,Automated,Available,,,"select
	'Number of CourseSection Staff(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
	CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.BridgeK12StudentCourseSectionK12Staff b
join RDS.FactK12StudentCourseSections f 
on b.FactK12StudentCourseSectionId = f.FactK12StudentCourseSectionId","select
        'Number of CourseSection Staff(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.BridgeK12StudentCourseSectionK12Staff b
join RDS.FactK12StudentCourseSections f 
on b.FactK12StudentCourseSectionId = f.FactK12StudentCourseSectionId",,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,E-W System Conditions,K12,Teacher credentials,Percentage of courses taught by teachers certified to teach the given subject or grade level,Course ID or course title,Found,"StaffSectionAssociation.Section.CourseOffering.LocalCourseCode, StaffSectionAssociation.Section.CourseOffering.LocalTitle, StaffSectionAssociation.Section.CourseOffering.Course.CourseCode, StaffSectionAssociation.Section.CourseOffering.Course.CourseTitle",Found,FactK12StudentCourseSections.K12CourseId,FactK12StudentCourseSections.StateK12CourseId,Student Data Application Guide,Automated,Available,p. 57,,"select
        'Number of Courses(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(f.K12CourseId) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.FactK12StudentCourseSections f
join RDS.DimK12Courses c
on f.K12CourseId = c.DimK12CourseId","select
        'Number of Courses(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(f.StateK12CourseId) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.FactK12StudentCourseSections f
join RDS.DimK12Courses c
on f.StateK12CourseId= c.DimK12CourseId",,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,E-W System Conditions,K12,Teacher credentials,Percentage of courses taught by teachers certified to teach the given subject or grade level,Teacher qualification or certification type,Found,Credential.CertificationTitle,Found,FactK12StaffCounts.K12StaffStatusId,FactK12StaffCounts.K12StaffStatusId,ALSDE Data Code Manual,Automated,Available,,,"select
        'Number of Courses(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.FactK12StudentCourseSections f
join RDS.DimK12Courses c
on f.K12CourseId = c.DimK12CourseId","select
        'Number of Courses(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.FactK12StudentCourseSections f
join RDS.DimK12Courses c
on f.StateK12CourseId = c.DimK12CourseId",,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,E-W System Conditions,K12,Teacher credentials,Percentage of courses taught by teachers certified to teach the given subject or grade level,Teaching assignment (subject and/or grade level taught),Found,"StaffSchoolAssociation.AcademicSubject, StaffSchoolAssociation.GradeLevel",Found,BridgeK12StudentCourseSectionK12Staff.K12StaffId,BridgeK12StaffAssignmentCourseSections.K12CourseId,,Automated,Available,"The Alabama Certification Search website (linked here) allows the public to search the certification status of any teacher in the state. The site includes information about certification status, certifications, endorsments, and grade levels, among other information. The state department of education also has a Youtube training video (https://www.youtube.com/watch?v=QAQLoAuMkMw) with detailed information on certification data collection on the state. The spreadsheet notes that the data come from SIS teacher schedules and educator directorirs.",,"select
        'Number of Teachers assigned to courses(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.BridgeK12StudentCourseSectionK12Staff b
join RDS.FactK12StudentCourseSections f on b.FactK12StudentCourseSectionId = f.FactK12StudentCourseSectionId
join RDS.DimK12Courses c
on f.K12CourseId = c.DimK12CourseId","select
    'Number of Teachers assigned to courses(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
     CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.BridgeK12StaffAssignmentCourseSections b
join RDS.FactK12StaffAssignments f
	on b.FactK12StaffAssignmentId = f.FactK12StaffAssignmentId
join RDS.DimK12Courses d
	on b.K12CourseId = d.DimK12CourseId",,,,,,,
3. Are children demonstrating developmental progress across the five learning domains?,Academic Progress & Completion,E-W System Conditions,PK,Teacher experience,"Percentage of Pre-K teachers with < 1 year, 1–5 years, and 5+ years of experience","Percentage of K-12 teachers with < 1 year, 1–5 years, and 5+ years of experience",Likely not available,Staff.YearsOfPriorTeachingExperience,Not Found,,,,Automated,Available,,Low-Hanging Fruit,"Missing elements in CEDS DWH:
Professional Educational Job 
Classification
Years of Prior Teaching Experience","Missing elements in CEDS DWH:
Professional Educational Job 
Classification
Years of Prior Teaching Experience",,,,,,,
